step,time_s,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,roll,pitch,lon_flap,lat_flap,pos_err_y,norm_state_0,norm_state_1,norm_state_2,norm_state_3,norm_state_4,norm_state_5,norm_state_6,norm_state_7,norm_state_8,norm_state_9,norm_state_10,collective,lateral_cyclic,longitudinal_cyclic,tail_rotor_cyclic
63,1.0666664,0.025100192,0.12653375,0.31331488,0.066905834,-0.038627136,0.0076013403,-0.0041993777,0.016867923,0.003836576,0.0012688832,0.07395486,0.025094923,0.12586275,0.30344975,0.13301869,-0.07710095,0.01520151,-0.0069988486,0.0281058,0.0076730014,0.002537761,0.07382032,-0.82999414,0.02627244,-0.037850708,-0.7083342
64,1.083333,0.025938187,-0.029806122,0.31717643,0.06778699,-0.034239057,0.0068401145,-0.0040954067,0.017995331,0.00068168715,0.0011793481,0.07336128,0.025932372,-0.029797299,0.3069516,0.13474941,-0.06837128,0.013679376,-0.0068255714,0.029983228,0.0013633735,0.0023586918,0.07322995,0.9920933,-0.3461709,-0.09564804,0.7736229
65,1.0999997,0.026471173,-0.17235403,0.33391872,0.068606004,0.01845067,0.00670486,-0.003978034,0.01914,-0.004650345,-0.019263854,0.07038099,0.026464991,-0.17066742,0.32203752,0.13635734,0.0368846,0.013408916,-0.006629959,0.03188918,-0.009300422,-0.038508657,0.07026501,0.9999885,0.11247885,0.015958564,0.9995087
66,1.1166663,0.028111285,-0.09656306,0.32686576,0.05522831,0.019772131,0.0076275473,-0.0038445187,0.02006175,-0.0021972524,-0.008013184,0.06866086,0.028103882,-0.09626405,0.31570172,0.11000959,0.03952366,0.015253911,-0.0064074434,0.033423796,-0.0043944763,-0.016024996,0.06855317,0.99951947,0.27321848,0.011791815,0.9975072
67,1.133333,0.029236656,-0.019865083,0.31286106,0.049663607,0.005087618,0.008063509,-0.003708454,0.020889785,-0.00073135435,0.008604844,0.068219125,0.029228328,-0.01986247,0.30303767,0.09900185,0.010174884,0.01612562,-0.006180678,0.034802247,-0.0014627076,0.01720799,0.0681135,0.9775362,-0.083610065,0.024120897,0.97260153
68,1.1499996,0.030071855,0.056793813,0.29497024,0.0556392,-0.009472321,0.00820862,-0.0035750882,0.02181652,0.00095311576,0.00041608512,0.06905642,0.030062793,0.05673283,0.286703,0.11082135,-0.018942375,0.016415766,-0.00595841,0.03634485,0.0019062292,0.0008321701,0.06894686,0.26002842,0.2379734,0.047002286,0.61393994
69,1.1666663,0.030555205,0.13080779,0.27959716,0.055928137,-0.023177631,0.00801951,-0.0034501113,0.022747293,0.0033593632,0.012368093,0.07112823,0.0305457,0.13006678,0.2725322,0.11139209,-0.04632209,0.016037645,-0.005750122,0.037894,0.0067186253,0.024731142,0.07100852,-0.9372785,-0.12410651,0.02881361,-0.3476896
70,1.1833329,0.030799951,0.11884565,0.2694901,0.0645171,-0.03877939,0.007352969,-0.0033426986,0.023820376,0.004007856,0.0006407052,0.07299972,0.030790215,0.118289255,0.2631503,0.12832281,-0.077403635,0.014704878,-0.0055711064,0.03967978,0.00801554,0.0012814098,0.07287033,-0.8879729,0.033682287,-0.026076691,-0.68550533
71,1.1999996,0.03137369,-0.03662209,0.28009474,0.06496202,-0.013297471,0.006557759,-0.003238889,0.024902338,0.001438628,0.0011997846,0.072271615,0.0313634,-0.036605723,0.27299276,0.1291979,-0.026588675,0.013114766,-0.0053980956,0.04148008,0.002877248,0.0023995645,0.07214605,0.98496056,-0.3983819,-0.09583942,0.9472327
72,1.2166662,0.03167995,-0.18615219,0.29755235,0.065795206,0.037075717,0.0062723174,-0.003118708,0.026000878,-0.0041476227,-0.022058247,0.06903957,0.031669356,-0.18403137,0.28907108,0.1308361,0.074015826,0.012543976,-0.0051977993,0.043307688,-0.0082950555,-0.044087894,0.06893008,0.9999855,0.13546656,0.01886579,0.9998886
73,1.2333329,0.033039987,-0.11124964,0.28893897,0.050476987,0.0255258,0.007095257,-0.002989279,0.026843455,-0.0017015135,-0.008597999,0.06705519,0.03302797,-0.11079294,0.28115794,0.1006124,0.051007297,0.014189561,-0.00498209,0.044709265,-0.003403014,-0.017194303,0.066954866,0.9994889,0.2921999,0.012884112,0.99872077
